Source,County ID,County,SCC,General Emissions Description,Specific Emissions Description,PolName,Tons/day
NonRoad,49003,Box Elder,2260002021,Off-highway Vehicle Gasoline 2-Stroke,Paving Equipment,SO2,0
NonRoad,49003,Box Elder,2260002021,Off-highway Vehicle Gasoline 2-Stroke,Paving Equipment,PM10,0.000006
NonRoad,49003,Box Elder,2260002021,Off-highway Vehicle Gasoline 2-Stroke,Paving Equipment,PM2_5,0.000006
NonRoad,49003,Box Elder,2260002027,Off-highway Vehicle Gasoline 2-Stroke,Signal Boards/Light Plants,CO,0
NonRoad,49003,Box Elder,2260002027,Off-highway Vehicle Gasoline 2-Stroke,Signal Boards/Light Plants,NOX,0
NonRoad,49003,Box Elder,2260002027,Off-highway Vehicle Gasoline 2-Stroke,Signal Boards/Light Plants,VOC,0
NonRoad,49003,Box Elder,2260002027,Off-highway Vehicle Gasoline 2-Stroke,Signal Boards/Light Plants,NH3,0
NonRoad,49003,Box Elder,2260002027,Off-highway Vehicle Gasoline 2-Stroke,Signal Boards/Light Plants,SO2,0
NonRoad,49003,Box Elder,2260002027,Off-highway Vehicle Gasoline 2-Stroke,Signal Boards/Light Plants,PM10,0
NonRoad,49003,Box Elder,2260002027,Off-highway Vehicle Gasoline 2-Stroke,Signal Boards/Light Plants,PM2_5,0
NonRoad,49003,Box Elder,2260002039,Off-highway Vehicle Gasoline 2-Stroke,Concrete/Industrial Saws,CO,0.009808
NonRoad,49003,Box Elder,2260002039,Off-highway Vehicle Gasoline 2-Stroke,Concrete/Industrial Saws,NOX,0.000058
NonRoad,49003,Box Elder,2260002039,Off-highway Vehicle Gasoline 2-Stroke,Concrete/Industrial Saws,VOC,0.002186
NonRoad,49003,Box Elder,2260002039,Off-highway Vehicle Gasoline 2-Stroke,Concrete/Industrial Saws,NH3,0
NonRoad,49003,Box Elder,2260002039,Off-highway Vehicle Gasoline 2-Stroke,Concrete/Industrial Saws,SO2,0.000001
NonRoad,49003,Box Elder,2260002039,Off-highway Vehicle Gasoline 2-Stroke,Concrete/Industrial Saws,PM10,0.000353
NonRoad,49003,Box Elder,2260002039,Off-highway Vehicle Gasoline 2-Stroke,Concrete/Industrial Saws,PM2_5,0.000345
NonRoad,49003,Box Elder,2260002054,Off-highway Vehicle Gasoline 2-Stroke,Crushing/Processing Equipment,CO,0.000027
NonRoad,49003,Box Elder,2260002054,Off-highway Vehicle Gasoline 2-Stroke,Crushing/Processing Equipment,NOX,0
NonRoad,49003,Box Elder,2260002054,Off-highway Vehicle Gasoline 2-Stroke,Crushing/Processing Equipment,VOC,0.000007
NonRoad,49003,Box Elder,2260002054,Off-highway Vehicle Gasoline 2-Stroke,Crushing/Processing Equipment,NH3,0
NonRoad,49003,Box Elder,2260002054,Off-highway Vehicle Gasoline 2-Stroke,Crushing/Processing Equipment,SO2,0
NonRoad,49003,Box Elder,2260002054,Off-highway Vehicle Gasoline 2-Stroke,Crushing/Processing Equipment,PM10,0.000001
NonRoad,49003,Box Elder,2260002054,Off-highway Vehicle Gasoline 2-Stroke,Crushing/Processing Equipment,PM2_5,0.000001
NonRoad,49003,Box Elder,2260003030,Off-highway Vehicle Gasoline 2-Stroke,Sweepers/Scrubbers,CO,0.000192
NonRoad,49003,Box Elder,2260003030,Off-highway Vehicle Gasoline 2-Stroke,Sweepers/Scrubbers,NOX,0.000002
NonRoad,49003,Box Elder,2260003030,Off-highway Vehicle Gasoline 2-Stroke,Sweepers/Scrubbers,VOC,0.000042
NonRoad,49003,Box Elder,2260003030,Off-highway Vehicle Gasoline 2-Stroke,Sweepers/Scrubbers,NH3,0
NonRoad,49003,Box Elder,2260003030,Off-highway Vehicle Gasoline 2-Stroke,Sweepers/Scrubbers,SO2,0
NonRoad,49003,Box Elder,2260003030,Off-highway Vehicle Gasoline 2-Stroke,Sweepers/Scrubbers,PM10,0.000007
NonRoad,49003,Box Elder,2260003030,Off-highway Vehicle Gasoline 2-Stroke,Sweepers/Scrubbers,PM2_5,0.000006
NonRoad,49003,Box Elder,2260003040,Off-highway Vehicle Gasoline 2-Stroke,Other General Industrial Equipment,CO,0.000027
NonRoad,49003,Box Elder,2260003040,Off-highway Vehicle Gasoline 2-Stroke,Other General Industrial Equipment,NOX,0
NonRoad,49003,Box Elder,2260003040,Off-highway Vehicle Gasoline 2-Stroke,Other General Industrial Equipment,VOC,0.000003
NonRoad,49003,Box Elder,2260003040,Off-highway Vehicle Gasoline 2-Stroke,Other General Industrial Equipment,NH3,0
NonRoad,49003,Box Elder,2260003040,Off-highway Vehicle Gasoline 2-Stroke,Other General Industrial Equipment,SO2,0
NonRoad,49003,Box Elder,2260003040,Off-highway Vehicle Gasoline 2-Stroke,Other General Industrial Equipment,PM10,0.000001
NonRoad,49003,Box Elder,2260003040,Off-highway Vehicle Gasoline 2-Stroke,Other General Industrial Equipment,PM2_5,0.000001
NonRoad,49003,Box Elder,2260004035,Off-highway Vehicle Gasoline 2-Stroke,Snowblowers (Residential),CO,0.04811
