,Day,,,,,,,,,Last week,,,,,,,Day of Week,,,,,,
Date,Time,Percent,#,Spacing,# >60 dB,# >50 dB,Longest,Loudest,dB at Source,Avg time,Avg Percent,Avg Spacing,Avg dB,Total >60 dB,Total >50 dB,Day of Week,dB,Time,%,#,>50,>60,
10/9,2m 47s,4.9702380952381,9,6m 13s 333ms,0,1,46,51,87,2m 38s,4.43225623582766,0:15:25,52,0,6,Thursday,56.5652173913043,3m 12s 152ms,5.19406708696023,10.0869565217391,2.52272727272727,0.431818181818182,56m
10/10,2m 50s,4.72222222222222,14,0h 4m 17s 143ms,0,1,33,51,87,2m 51s,4.80527210884354,0:14:48,52.2857142857143,0,7,Friday,57.6,4m 41s 805ms,7.56366663052709,13,3.05263157894737,0.421052631578947,
10/11,3m 4s,5.11111111111111,5,0h 12m,2,4,72,66,102,3m 4s,5.16638321995465,0:14:48,54,2,9,Saturday,59.0975609756098,0d 0h 4m 41s 500ms,8.03931614393466,13.7560975609756,3.8974358974359,0.717948717948718,
10/12,55s,1.52777777777778,5,0h 12m,0,2,24,56,92,2m 26s,4.11082766439909,0:15:18,54.1428571428571,2,10,Sunday,57.4666666666667,3m 54s 348ms,6.37115839243498,9.64444444444444,3.06976744186047,0.558139534883721,
10/13,2m 23s,3.97222222222222,4,0h 15m,1,3,72,60,96,2m 46s,4.66638321995465,0:08:52,55.7142857142857,3,13,Monday,55.6041666666667,3m 1s 531ms,4.92006475099185,8.54761904761905,2.02173913043478,0.260869565217391,
10/14,44s,1.38364779874214,6,8m 50s,0,1,9,51,87,2m 39s,4.48309481025114,0:08:54,56,3,14,Tuesday,55.6888888888889,3m 26s 174ms,5.60863553236094,10.5111111111111,2.61363636363636,0.340909090909091,53m
10/15,44s,1.22222222222222,3,0h 20m,0,1,28,54,90,1m 55s,3.27277734993368,0:11:11,55.5714285714286,3,13,Wednesday,57.2380952380952,3m 15s 558ms,5.19074074074074,9.97619047619048,2.46341463414634,0.439024390243902,
10/16,57s,1.58333333333333,6,0h 10m,0,1,29,57,93,1m 40s,2.78893381251872,0:11:44,56.4285714285714,3,13,Thursday,56.5652173913043,3m 12s 152ms,5.19406708696023,10.0869565217391,2.52272727272727,0.431818181818182,
10/17,2m 18s,3.83333333333333,12,0h 5m,1,1,38,61,97,1m 35s,2.66194968553459,0:11:50,57.8571428571429,4,13,Friday,57.6,4m 41s 805ms,7.56366663052709,13,3.05263157894737,0.421052631578947,
10/18,57s,1.58333333333333,5,0h 12m,0,3,18,55,91,1m 17s,2.15798143156634,0:11:50,56.2857142857143,2,12,Saturday,59.0975609756098,0d 0h 4m 41s 500ms,8.03931614393466,13.7560975609756,3.8974358974359,0.717948717948718,10.7889170231543
10/19,1m 24s,2.33333333333333,7,0h 8m 34s 286ms,0,2,21,53,89,1m 21s,2.2730607966457,0:11:21,55.8571428571429,2,12,Sunday,57.4666666666667,3m 54s 348ms,6.37115839243498,9.64444444444444,3.06976744186047,0.558139534883721,0h 5m 33s 676ms
10/20,3m 7s,5.19444444444444,11,0h 5m 27s 273ms,0,4,41,55,91,1m 27s,2.44766397124887,0:09:59,55.1428571428571,1,13,Monday,55.6041666666667,3m 1s 531ms,4.92006475099185,8.54761904761905,2.02173913043478,0.260869565217391,
10/21,9s,0.25,1,1h,0,0,9,43,79,1m 22s,2.28571428571428,0:17:17,54,1,12,Tuesday,55.6888888888889,3m 26s 174ms,5.60863553236094,10.5111111111111,2.61363636363636,0.340909090909091,
10/22,1m 2s,1.72222222222222,5,0h 12m,0,1,28,51,87,1m 25s,2.35714285714285,0:16:09,53.5714285714286,1,12,Wednesday,57.2380952380952,3m 15s 558ms,5.19074074074074,9.97619047619048,2.46341463414634,0.439024390243902,
10/23,1m 44s,2.88888888888889,7,0h 8m 34s 286ms,0,0,36,49,85,1m 32s,2.54365079365079,0:15:57,52.4285714285714,1,11,Thursday,56.5652173913043,3m 12s 152ms,5.19406708696023,10.0869565217391,2.52272727272727,0.431818181818182,
10/24,30s,1.04166666666667,1,48m,0,0,30,42,78,1m 16s,2.14484126984127,0:22:05,49.7142857142857,0,10,Friday,57.6,4m 41s 805ms,7.56366663052709,13,3.05263157894737,0.421052631578947,48m
10/25,0w,0,0,1h,0,0,0,35,71,1m 8s,1.91865079365079,0:28:57,46.8571428571429,0,7,Saturday,59.0975609756098,0d 0h 4m 41s 500ms,8.03931614393466,13.7560975609756,3.8974358974359,0.717948717948718,
10/26,1m 4s,1.77777777777778,7,0h 8m 34s 286ms,0,2,31,57,93,1m 5s,1.83928571428571,0:28:57,47.4285714285714,0,7,Sunday,57.4666666666667,3m 54s 348ms,6.37115839243498,9.64444444444444,3.06976744186047,0.558139534883721,
10/27,3m 23s,5.63888888888889,11,0h 5m 27s 273ms,2,3,54,70,106,1m 7s,1.90277777777778,0:28:57,49.5714285714286,2,6,Monday,55.6041666666667,3m 1s 531ms,4.92006475099185,8.54761904761905,2.02173913043478,0.260869565217391,
10/28,1m 37s,2.69444444444444,7,0h 8m 34s 286ms,0,0,32,49,85,1m 20s,2.25198412698413,0:21:36,50.4285714285714,2,6,Tuesday,55.6888888888889,3m 26s 174ms,5.60863553236094,10.5111111111111,2.61363636363636,0.340909090909091,
10/29,3m 23s,5.63888888888889,9,0h 6m 40s,0,2,55,58,94,1m 40s,2.81150793650794,0:20:50,51.4285714285714,2,7,Wednesday,57.2380952380952,3m 15s 558ms,5.19074074074074,9.97619047619048,2.46341463414634,0.439024390243902,
10/30,1m 39s,2.75,6,0h 10m,0,1,29,57,93,1m 39s,2.79166666666667,0:21:02,52.5714285714286,2,8,Thursday,56.5652173913043,3m 12s 152ms,5.19406708696023,10.0869565217391,2.52272727272727,0.431818181818182,
10/31,16m 16s,27.1111111111111,11,0h 5m 27s 273ms,1,5,620,70,106,3m 55s,6.51587301587301,0:14:58,56.5714285714286,3,13,Friday,57.6,4m 41s 805ms,7.56366663052709,13,3.05263157894737,0.421052631578947,
11/1,4m 42s,12.3684210526316,10,3m 48s,0,3,77,58,94,4m 35s,8.2827903091061,0:06:56,59.8571428571429,3,16,Saturday,59.0975609756098,0d 0h 4m 41s 500ms,8.03931614393466,13.7560975609756,3.8974358974359,0.717948717948718,38m
11/2,1m 58s,3.27777777777778,4,0h 15m,0,1,51,58,94,4m 43s,8.49707602339181,0:07:51,60,3,15,Sunday,57.4666666666667,3m 54s 348ms,6.37115839243498,9.64444444444444,3.06976744186047,0.558139534883721,
11/3,2m 27s,4.08333333333333,11,0h 5m 27s 273ms,1,2,49,62,98,4m 35s,8.27485380116959,0:07:51,58.8571428571429,2,14,Monday,55.6041666666667,3m 1s 531ms,4.92006475099185,8.54761904761905,2.02173913043478,0.260869565217391,
11/4,2m 34s,4.27777777777778,9,0h 6m 40s,0,4,35,52,88,4m 43s,8.50104427736007,0:07:35,59.2857142857143,2,18,Tuesday,55.6888888888889,3m 26s 174ms,5.60863553236094,10.5111111111111,2.61363636363636,0.340909090909091,
11/5,2m 27s,4.08333333333333,8,0h 7m 30s,0,2,37,59,95,4m 35s,8.27882205513785,0:07:42,59.4285714285714,2,18,Wednesday,57.2380952380952,3m 15s 558ms,5.19074074074074,9.97619047619048,2.46341463414634,0.439024390243902,
11/6,1m 1s,1.69444444444444,5,0h 12m,0,0,23,48,84,4m 29s,8.12802840434419,0:07:59,58.1428571428571,2,17,Thursday,56.5652173913043,3m 12s 152ms,5.19406708696023,10.0869565217391,2.52272727272727,0.431818181818182,
11/7,2m 3s,3.41666666666667,8,0h 7m 30s,0,1,39,52,88,2m 27s,4.74310776942356,0:08:16,55.5714285714286,1,13,Friday,57.6,4m 41s 805ms,7.56366663052709,13,3.05263157894737,0.421052631578947,
11/8,4m 35s,7.63888888888889,13,0h 4m 36s 923ms,0,4,48,58,94,2m 26s,4.06746031746032,0:08:23,55.5714285714286,1,14,Saturday,59.0975609756098,0d 0h 4m 41s 500ms,8.03931614393466,13.7560975609756,3.8974358974359,0.717948717948718,
11/9,3m 31s,5.86111111111111,10,0h 6m,0,3,53,53,89,2m 40s,4.43650793650794,0:07:06,54.8571428571429,1,16,Sunday,57.4666666666667,3m 54s 348ms,6.37115839243498,9.64444444444444,3.06976744186047,0.558139534883721,
11/10,,0,8.83333333333333,0h 6m 47s 547ms,,,,,,,,,,,,Monday,55.6041666666667,3m 1s 531ms,4.92006475099185,8.54761904761905,2.02173913043478,0.260869565217391,
